,FIRE_NAME,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,GIS_ACRES,COMPLEX_NAME,Shape__Area,Shape__Length
0,BORDER 42,2023-12-22 00:00:00+00:00,2023/12/22 00:00:00+00,14.0,1.0,38.60516,,220667.328125,3493.32359952827
1,PANZA,2023-12-16 00:00:00+00:00,2023/12/16 00:00:00+00,10.0,1.0,3.066564,,18742.50390625,907.434434884294
2,FRANKLIN,2023-12-16 00:00:00+00:00,2023/12/16 00:00:00+00,14.0,1.0,1.008626,,6185.5,321.137146668691
3,58 CARRIZO,2023-12-16 00:00:00+00:00,2023/12/16 00:00:00+00,10.0,1.0,13.34245,,81375.9921875,1892.44662651592
4,PINE,2023-12-15 00:00:00+00:00,2023/12/16 00:00:00+00,14.0,1.0,169.973,,1041987.03125,5519.3161410333
5,SOUTH,2023-12-09 00:00:00+00:00,2023/12/12 00:00:00+00,14.0,3.0,2715.4,,16143487.7421875,46856.1700438683
6,BORDER 38,2023-12-05 00:00:00+00:00,2023/12/05 00:00:00+00,14.0,6.0,12.77125,,72986.67578125,2030.13322387512
7,RANCHO,2023-12-04 00:00:00+00:00,2023/12/04 00:00:00+00,14.0,1.0,2.2649,,13228.0,666.591320641136
8,TULE 2,2023-12-03 00:00:00+00:00,2023/12/03 00:00:00+00,14.0,1.0,3.12156,,18763.0078125,975.070567845394
9,SAGE,2023-11-23 00:00:00+00:00,2023/11/27 00:00:00+00,14.0,7.0,39.687,,227598.1171875,3033.23839082546
10,FANO 2,2023-11-21 00:00:00+00:00,2023/11/21 00:00:00+00,14.0,1.0,3.433622,,21001.1953125,568.788494578366
11,VALLEY,2023-11-20 00:00:00+00:00,2023/11/20 00:00:00+00,2.0,1.0,9.52999,,58357.01953125,2106.67321306964
12,ALMOND,2023-11-13 00:00:00+00:00,2023/11/13 00:00:00+00,2.0,1.0,31.01117,,189929.98828125,1938.03933584048
13,MIDWAY,2023-11-12 00:00:00+00:00,2023/11/14 00:00:00+00,14.0,1.0,63.70088,,386476.66796875,4368.27565724749
14,BRIDGE,2023-11-12 00:00:00+00:00,2023/11/12 00:00:00+00,4.0,1.0,1.519355,,9182.49609375,512.688216096683
